personName,gender,dob,Category
"Kerry Valverde",female,1931-09-20,ElderFemale
"Marlene Cole",female,1971-09-14,MidAgeFemale
"Danny Levin",male,2018-02-17,YoungMale
"Katie Bennett",female,1970-01-13,MidAgeFemale
"Sharon Hogue",female,1955-08-01,ElderFemale
"Todd Durbin",male,1969-11-02,ElderMale
"Jewell Givens",female,1936-09-14,ElderFemale
"Dorian Sapp",female,1981-10-28,MidAgeFemale
"Sonia Schmidt",female,2019-11-21,YoungFemale
"Samuel Hanson",male,1964-11-08,ElderMale
"Marion Settles",female,1985-09-23,AdultFemale
"Una Schlenz",female,2013-04-15,YoungFemale
"Kevin George",male,2018-09-07,YoungMale
"Kathleen Severs",female,1964-04-19,ElderFemale
